157.46.160.179 - - [21/Jun/2025:01:01:28 +0500] "GET /?gad_campaignid=22678990791&gb=1&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB HTTP/1.1" 301 3731 "-" "Mozilla/5.0 (Linux; Android 11; Redmi Note 9 Pro Max Build/RKQ1.200826.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.115 Mobile Safari/537.36 (Mobile; afma-sdk-a-v250505999.244410000.1)"
157.46.160.179 - - [21/Jun/2025:01:01:30 +0500] "GET /?gad_campaignid=22678990791&gb=1&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB HTTP/1.1" 200 35531 "-" "Mozilla/5.0 (Linux; Android 11; Redmi Note 9 Pro Max Build/RKQ1.200826.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.115 Mobile Safari/537.36 (Mobile; afma-sdk-a-v250505999.244410000.1)"
157.46.160.179 - - [21/Jun/2025:01:01:32 +0500] "GET /?gad_campaignid=22678990791&gb=1&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB HTTP/1.1" 301 3731 "-" "Mozilla/5.0 (Linux; Android 11; Redmi Note 9 Pro Max Build/RKQ1.200826.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.115 Mobile Safari/537.36 (Mobile; afma-sdk-a-v250505999.244410000.1)"
157.46.160.179 - - [21/Jun/2025:01:01:34 +0500] "GET /?gad_campaignid=22678990791&gb=1&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB HTTP/1.1" 200 35532 "-" "Mozilla/5.0 (Linux; Android 11; Redmi Note 9 Pro Max Build/RKQ1.200826.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/137.0.7151.115 Mobile Safari/537.36 (Mobile; afma-sdk-a-v250505999.244410000.1)"
176.9.65.136 - - [21/Jun/2025:01:02:08 +0500] "POST /wp-cron.php?doing_wp_cron=1750449728.7932090759277343750000 HTTP/1.1" 200 3488 "-" "WordPress/6.8.1; https://starmakerwm.com"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/themes/bloghash/assets/css/compatibility/elementor.min.css?ver=1.0.21 HTTP/2.0" 200 388 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=9.9.4 HTTP/2.0" 200 1313 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/uploads/bloghash/dynamic-styles.css?ver=1750351974 HTTP/2.0" 200 5624 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/themes/bloghash/assets/css/all.min.css?ver=5.15.4 HTTP/2.0" 200 12932 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/themes/bloghash/assets/css/compatibility/woocommerce.min.css?ver=1.0.21 HTTP/2.0" 200 14423 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.9.9.4 HTTP/2.0" 200 3588 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/yith-woocommerce-compare/assets/css/jquery.dataTables.css?ver=1.10.18 HTTP/2.0" 200 2159 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/yith-woocommerce-compare/assets/css/widget.css?ver=3.1.0 HTTP/2.0" 200 568 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1 HTTP/2.0" 200 4929 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.9.9.4 HTTP/2.0" 200 867 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/duracelltomi-google-tag-manager/dist/js/analytics-talk-content-tracking.js?ver=1.21.1 HTTP/2.0" 200 678 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/uploads/pl-google-fonts/9126c2842437c511529e28d5d5229833.css HTTP/2.0" 200 2348 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=9.9.4 HTTP/2.0" 200 10855 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5 HTTP/2.0" 200 4640 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/yith-woocommerce-compare/assets/css/compare.css?ver=3.1.0 HTTP/2.0" 200 3396 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/themes/bloghash/assets/css/style.min.css?ver=1.0.21 HTTP/2.0" 200 46432 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-includes/js/jquery/jquery.min.js?ver=3.7.1 HTTP/2.0" 200 30435 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:11 +0500] "GET /wp-content/plugins/pagelayer/js/givejs.php?give=pagelayer-frontend.js%2Cnivo-lightbox.min.js%2Cwow.min.js%2Cjquery-numerator.js%2CsimpleParallax.min.js%2Cowl.carousel.min.js&premium=chart.min.js%2Cpremium-frontend.js%2Cshuffle.min.js&ver=2.0.1 HTTP/2.0" 200 96054 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:12 +0500] "GET /wp-content/uploads/2024/12/WhatsApp-Image-2022-08-27-at-6.23.37-PM.jpeg HTTP/2.0" 200 116547 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:12 +0500] "GET /wp-content/uploads/2024/12/WhatsApp-Image-2022-05-04-at-12.55.53-AM-2.jpeg HTTP/2.0" 200 32670 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:12 +0500] "GET /wp-content/uploads/2024/12/Screenshot_20220530-115434-Copy.jpg HTTP/2.0" 200 385178 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:12 +0500] "GET /wp-content/uploads/2024/12/Screenshot_20220530-115644.jpg HTTP/2.0" 200 338018 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:12 +0500] "GET /wp-content/uploads/2024/12/Screenshot_20220530-120258.jpg HTTP/2.0" 200 379330 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:12 +0500] "GET /wp-content/plugins/woocommerce/assets/client/blocks/wc-blocks.css?ver=wc-9.9.4 HTTP/2.0" 200 2609 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:12 +0500] "GET /wp-content/uploads/pl-google-fonts/9126c2842437c511529e28d5d5229833.css?ver=2.0.1 HTTP/2.0" 200 2325 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:12 +0500] "GET /wp-includes/js/dist/vendor/react.min.js?ver=18.3.1.1 HTTP/2.0" 200 4222 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:12 +0500] "GET /wp-includes/js/dist/vendor/react-jsx-runtime.min.js?ver=18.3.1 HTTP/2.0" 200 588 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:12 +0500] "GET /wp-includes/js/dist/vendor/react-dom.min.js?ver=18.3.1.1 HTTP/2.0" 200 41941 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
157.46.160.179 - - [21/Jun/2025:01:02:13 +0500] "GET /wp-includes/js/dist/dom-ready.min.js?ver=f77871ff7694fffea381 HTTP/2.0" 200 422 "https://starmakerwm.com/?gad_source=5&gad_campaignid=22678990791&gclid=Cj0KCQjwjdTCBhCLARIsAEu8bpIQIxuEXIfGSt1CarlolZJ8SeG5XB8wn0ez6xwmtJjXXeogOX-97HMaAhQIEALw_wcB" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36"
